"Filename","StartLine","Endline","CountinFile"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\auth\jmx\AuthorizationProxy.java","143","145","2"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\auth\jmx\AuthorizationProxy.java","444","446","2"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\batchlog\BatchlogManager.java","182","184","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\concurrent\ExecutionFailure.java","215","217","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\concurrent\FutureTask.java","59","61","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\concurrent\FutureTaskWithResources.java","50","52","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\concurrent\SyncFutureTask.java","41","43","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\config\ForwardingProperty.java","69","71","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\config\Properties.java","160","162","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\config\Replacement.java","73","75","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\config\YamlConfigurationLoader.java","370","372","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\db\compaction\CompactionManager.java","796","798","2"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\db\compaction\CompactionManager.java","1214","1216","2"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\db\compaction\CompactionTask.java","108","110","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\db\compaction\PendingRepairManager.java","509","511","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\db\lifecycle\LogAwareFileLister.java","81","83","2"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\db\lifecycle\LogAwareFileLister.java","184","186","2"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\db\ReadCommand.java","999","1001","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\db\streaming\CassandraCompressedStreamReader.java","51","53","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\db\streaming\CassandraIncomingFile.java","65","67","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\db\streaming\CassandraStreamReader.java","102","104","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\index\sasi\analyzer\filter\BasicResultFilters.java","43","45","3"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\index\sasi\analyzer\filter\BasicResultFilters.java","63","65","3"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\index\sasi\analyzer\filter\BasicResultFilters.java","71","73","3"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\index\sasi\analyzer\filter\StemmerFactory.java","47","49","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\index\sasi\analyzer\filter\StemmingFilters.java","38","40","1"
"C:\Users\annas\OneDrive\Concordia\SOEN6591\SOEN6591\cassandra-trunk\src\java\org\apache\cassandra\index\sasi\analyzer\filter\StopWordFilters.java","37","39","1"
